order_id,order_date,region,product_id,product_name,quantity,unit_price,amount
ORD-1000,2026-01-01,Tokyo,P-200,Pro plan,4,12800,51200
ORD-1001,2026-01-01,Tokyo,P-100,Standard plan,5,4980,24900
ORD-1002,2026-01-01,Tokyo,P-300,Enterprise plan,5,49800,249000
ORD-1003,2026-01-01,Tokyo,P-200,Pro plan,1,12800,12800
ORD-1004,2026-01-02,Osaka,A-010,Onboarding,1,30000,30000
ORD-1005,2026-01-02,Fukuoka,P-100,Standard plan,5,4980,24900
ORD-1006,2026-01-02,Tokyo,P-100,Standard plan,5,4980,24900
ORD-1007,2026-01-02,Tokyo,P-200,Pro plan,5,12800,64000
ORD-1008,2026-01-02,Osaka,A-010,Onboarding,1,30000,30000
ORD-1009,2026-01-03,Fukuoka,P-200,Pro plan,3,12800,38400
ORD-1010,2026-01-03,Tokyo,P-200,Pro plan,5,12800,64000
ORD-1011,2026-01-04,Osaka,P-300,Enterprise plan,5,49800,249000
ORD-1012,2026-01-04,Sapporo,P-100,Standard plan,5,4980,24900
ORD-1013,2026-01-04,Tokyo,P-200,Pro plan,3,12800,38400
ORD-1014,2026-01-04,Tokyo,P-100,Standard plan,5,4980,24900
ORD-1015,2026-01-04,Sapporo,P-200,Pro plan,4,12800,51200
ORD-1016,2026-01-04,Fukuoka,A-010,Onboarding,3,30000,90000
ORD-1017,2026-01-05,Nagoya,A-010,Onboarding,3,30000,90000
ORD-1018,2026-01-05,Osaka,P-200,Pro plan,2,12800,25600
ORD-1019,2026-01-05,Nagoya,P-100,Standard plan,5,4980,24900
ORD-1020,2026-01-05,Fukuoka,A-010,Onboarding,3,30000,90000
ORD-1021,2026-01-05,Tokyo,P-300,Enterprise plan,5,49800,249000
ORD-1022,2026-01-05,Fukuoka,P-100,Standard plan,5,4980,24900
ORD-1023,2026-01-06,Fukuoka,P-300,Enterprise plan,2,49800,99600
ORD-1024,2026-01-06,Tokyo,A-010,Onboarding,1,30000,30000
ORD-1025,2026-01-06,Nagoya,P-300,Enterprise plan,3,49800,149400
ORD-1026,2026-01-07,Fukuoka,A-010,Onboarding,5,30000,150000
